"","Date","Location","TimeOfDay","Unique.ID","Orig_Height_cm","Orig_WaterLevel","Orig_WaterLevel_corr","HPO","New_WaterLevel","New_WaterLevel_corr"
"42",2011-07-19,"LDP","dusk","LDPCHL012011",82,15,15,84,5,5
"43",2011-07-19,"LDP","dusk","LDPCHL032011",97,14,14,60,5,5
"44",2011-07-19,"LDP","dusk","LDPCHL022011",72,15,15,84,5,5
"45",2011-07-20,"LDP","dawn","LDPCHL012011",82,15,15,96,2,2
"46",2011-07-20,"LDP","dawn","LDPCHL022011",72,15,15,96,2,2
"47",2011-07-20,"LDP","dawn","LDPCHL032011",97,14,14,72,2,2
"48",2011-07-20,"LDP","dusk","LDPCHL032011",97,14,14,84,8,8
"49",2011-07-20,"LDP","dusk","LDPCHL012011",82,15,15,108,8,8
"50",2011-07-20,"LDP","dusk","LDPCHL022011",72,15,15,108,8,8
"51",2011-07-21,"LDP","dawn","LDPCHL012011",82,15,15,120,5,5
"52",2011-07-21,"LDP","dawn","LDPCHL022011",72,15,15,120,5,5
"53",2011-07-21,"LDP","dawn","LDPCHL032011",97,14,14,96,5,5
"54",2011-07-21,"LDP","dusk","LDPCHL032011",97,14,14,108,7,7
"55",2011-07-22,"LDP","dawn","LDPCHL032011",97,14,14,120,9,9
"56",2011-07-22,"LDP","dawn","LDPCHL042011",69,9,9,0,9,9
"57",2011-07-22,"LDP","dusk","LDPCHL042011",69,9,9,12,10,10
"58",2011-07-23,"LDP","dawn","LDPCHL042011",69,9,9,24,11,11
"59",2011-07-23,"LDP","dawn","LDPCHL052011",42,11,11,0,11,11
"60",2011-07-23,"LDP","dusk","LDPCHL052011",42,11,11,12,12,12
"61",2011-07-23,"LDP","dusk","LDPCHL042011",69,9,9,36,12,12
"62",2011-07-24,"LDP","dawn","LDPCHL052011",42,11,11,24,12,12
"63",2011-07-24,"LDP","dawn","LDPCHL042011",69,9,9,48,12,12
"64",2011-07-24,"LDP","dusk","LDPCHL052011",42,11,11,36,13,13
"65",2011-07-24,"LDP","dusk","LDPCHL042011",69,9,9,60,13,13
"66",2011-07-25,"LDP","dawn","LDPCHL042011",69,9,9,72,14,14
"67",2011-07-25,"LDP","dawn","LDPCHL052011",42,11,11,48,14,14
"68",2011-07-25,"LDP","dusk","LDPCHL052011",42,11,11,60,15,15
"69",2011-07-25,"LDP","dusk","LDPCHL042011",69,9,9,84,15,15
"70",2011-07-26,"LDP","dawn","LDPCHL082011",92,15,15,0,15,15
"71",2011-07-26,"LDP","dawn","LDPCHL042011",69,9,9,96,15,15
"72",2011-07-26,"LDP","dawn","LDPCHL052011",42,11,11,72,15,15
"73",2011-07-26,"LDP","dusk","LDPCHL082011",92,15,15,12,15,15
"74",2011-07-26,"LDP","dusk","LDPCHL052011",42,11,11,84,15,15
"75",2011-07-26,"LDP","dusk","LDPCHL042011",69,9,9,108,15,15
"76",2011-07-27,"LDP","dawn","LDPCHL052011",42,11,11,96,15,15
"77",2011-07-27,"LDP","dawn","LDPCHL092011",43,15,15,0,15,15
"78",2011-07-27,"LDP","dawn","LDPCHL042011",69,9,9,120,15,15
"79",2011-07-27,"LDP","dawn","LDPCHL082011",92,15,15,24,15,15
"80",2011-07-27,"LDP","dawn","LDPCHL102011",39,15,15,0,15,15
"81",2011-07-27,"LDP","dusk","LDPCHL092011",43,15,15,12,20,20
"82",2011-07-27,"LDP","dusk","LDPCHL082011",92,15,15,36,20,20
"83",2011-07-27,"LDP","dusk","LDPCHL102011",39,15,15,12,20,20
"84",2011-07-27,"LDP","dusk","LDPCHL052011",42,11,11,108,20,20
"85",2011-07-28,"LDP","dawn","LDPCHL082011",92,15,15,48,20,20
"86",2011-07-28,"LDP","dawn","LDPCHL052011",42,11,11,120,20,20
"87",2011-07-28,"LDP","dawn","LDPCHL122011",33,20,20,0,20,20
"88",2011-07-28,"LDP","dawn","LDPCHL112011",58,20,20,0,20,20
"89",2011-07-28,"LDP","dawn","LDPCHL102011",39,15,15,24,20,20
"90",2011-07-28,"LDP","dawn","LDPCHL092011",43,15,15,24,20,20
"91",2011-07-28,"LDP","dusk","LDPCHL122011",33,20,20,12,24,24
"92",2011-07-28,"LDP","dusk","LDPCHL092011",43,15,15,36,24,24
"93",2011-07-28,"LDP","dusk","LDPCHL112011",58,20,20,12,24,24
"94",2011-07-28,"LDP","dusk","LDPCHL102011",39,15,15,36,24,24
"95",2011-07-28,"LDP","dusk","LDPCHL082011",92,15,15,60,24,24
"96",2011-07-29,"LDP","dawn","LDPCHL092011",43,15,15,48,28,28
"97",2011-07-29,"LDP","dawn","LDPCHL082011",92,15,15,72,28,28
"98",2011-07-29,"LDP","dawn","LDPCHL132011",58,28,28,0,28,28
"99",2011-07-29,"LDP","dawn","LDPCHL112011",58,20,20,24,28,28
"100",2011-07-29,"LDP","dawn","LDPCHL122011",33,20,20,24,28,28
"101",2011-07-29,"LDP","dawn","LDPCHL102011",39,15,15,48,28,28
"102",2011-07-29,"LDP","dusk","LDPCHL132011",58,28,28,12,29,29
"103",2011-07-29,"LDP","dusk","LDPCHL112011",58,20,20,36,29,29
"104",2011-07-29,"LDP","dusk","LDPCHL122011",33,20,20,36,29,29
"105",2011-07-29,"LDP","dusk","LDPCHL102011",39,15,15,60,29,29
"106",2011-07-29,"LDP","dusk","LDPCHL092011",43,15,15,60,29,29
"107",2011-07-29,"LDP","dusk","LDPCHL082011",92,15,15,84,29,29
"108",2011-07-30,"LDP","dawn","LDPCHL102011",39,15,15,72,29,29
"109",2011-07-30,"LDP","dawn","LDPCHL092011",43,15,15,72,29,29
"110",2011-07-30,"LDP","dawn","LDPCHL132011",58,28,28,24,29,29
"111",2011-07-30,"LDP","dawn","LDPCHL082011",92,15,15,96,29,29
"112",2011-07-30,"LDP","dawn","LDPCHL122011",33,20,20,48,29,29
"113",2011-07-30,"LDP","dawn","LDPCHL112011",58,20,20,48,29,29
"114",2011-07-30,"LDP","dusk","LDPCHL132011",58,28,28,36,29,29
"115",2011-07-30,"LDP","dusk","LDPCHL122011",33,20,20,60,29,29
"116",2011-07-30,"LDP","dusk","LDPCHL112011",58,20,20,60,29,29
"117",2011-07-30,"LDP","dusk","LDPCHL092011",43,15,15,84,29,29
"118",2011-07-30,"LDP","dusk","LDPCHL102011",39,15,15,84,29,29
"119",2011-07-30,"LDP","dusk","LDPCHL082011",92,15,15,108,29,29
"120",2011-07-31,"LDP","dawn","LDPCHL112011",58,20,20,72,28,28
"121",2011-07-31,"LDP","dawn","LDPCHL092011",43,15,15,96,28,28
"122",2011-07-31,"LDP","dawn","LDPCHL102011",39,15,15,96,28,28
"123",2011-07-31,"LDP","dawn","LDPCHL082011",92,15,15,120,28,28
"124",2011-07-31,"LDP","dawn","LDPCHL132011",58,28,28,48,28,28
"125",2011-07-31,"LDP","dawn","LDPCHL162011",41,28,28,0,28,28
"126",2011-07-31,"LDP","dawn","LDPCHL152011",34,28,28,0,28,28
"127",2011-07-31,"LDP","dawn","LDPCHL122011",33,20,20,72,28,28
"128",2011-07-31,"LDP","dusk","LDPCHL152011",34,28,28,12,25,25
"129",2011-07-31,"LDP","dusk","LDPCHL132011",58,28,28,60,25,25
"130",2011-07-31,"LDP","dusk","LDPCHL162011",41,28,28,12,25,25
"131",2011-07-31,"LDP","dusk","LDPCHL112011",58,20,20,84,25,25
"132",2011-07-31,"LDP","dusk","LDPCHL092011",43,15,15,108,25,25
"133",2011-07-31,"LDP","dusk","LDPCHL122011",33,20,20,84,25,25
"134",2011-07-31,"LDP","dusk","LDPCHL102011",39,15,15,108,25,25
"135",2011-07-31,"UDP","dawn","UDPCHU0012011",29,NA,0,0,NA,0
"136",2011-07-31,"UDP","dusk","UDPCHU0012011",29,NA,0,12,NA,0
"137",2011-08-01,"LDP","dawn","LDPCHL112011",58,20,20,96,23,23
"138",2011-08-01,"LDP","dawn","LDPCHL102011",39,15,15,120,23,23
"139",2011-08-01,"LDP","dawn","LDPCHL152011",34,28,28,24,23,23
"140",2011-08-01,"LDP","dawn","LDPCHL092011",43,15,15,120,23,23
"141",2011-08-01,"LDP","dawn","LDPCHL132011",58,28,28,72,23,23
"142",2011-08-01,"LDP","dawn","LDPCHL162011",41,28,28,24,23,23
"143",2011-08-01,"LDP","dawn","LDPCHL122011",33,20,20,96,23,23
"144",2011-08-01,"LDP","dawn","LDPCHL172011",61,23,23,0,23,23
"145",2011-08-01,"LDP","dawn","LDPCHL182011",62,23,23,0,23,23
"146",2011-08-01,"LDP","dusk","LDPCHL162011",41,28,28,36,29,29
"147",2011-08-01,"LDP","dusk","LDPCHL152011",34,28,28,36,29,29
"148",2011-08-01,"LDP","dusk","LDPCHL172011",61,23,23,12,29,29
"149",2011-08-01,"LDP","dusk","LDPCHL112011",58,20,20,108,29,29
"150",2011-08-01,"LDP","dusk","LDPCHL132011",58,28,28,84,29,29
"151",2011-08-01,"LDP","dusk","LDPCHL122011",33,20,20,108,29,29
"152",2011-08-01,"LDP","dusk","LDPCHL182011",62,23,23,12,29,29
"153",2011-08-01,"UDP","dawn","UDPCHU0012011",29,NA,0,24,NA,0
"154",2011-08-01,"UDP","dusk","UDPCHU0012011",29,NA,0,36,NA,0
"155",2011-08-02,"LDP","dawn","LDPCHL172011",61,23,23,24,30,30
"156",2011-08-02,"LDP","dawn","LDPCHL112011",58,20,20,120,30,30
"157",2011-08-02,"LDP","dawn","LDPCHL132011",58,28,28,96,30,30
"158",2011-08-02,"LDP","dawn","LDPCHL122011",33,20,20,120,30,30
"159",2011-08-02,"LDP","dawn","LDPCHL162011",41,28,28,48,30,30
"160",2011-08-02,"LDP","dawn","LDPCHL192011",41,30,30,0,30,30
"161",2011-08-02,"LDP","dawn","LDPCHL182011",62,23,23,24,30,30
"162",2011-08-02,"LDP","dawn","LDPCHL152011",34,28,28,48,30,30
"163",2011-08-02,"LDP","dusk","LDPCHL132011",58,28,28,108,35,35
"164",2011-08-02,"LDP","dusk","LDPCHL172011",61,23,23,36,35,35
"165",2011-08-02,"LDP","dusk","LDPCHL192011",41,30,30,12,35,35
"166",2011-08-02,"LDP","dusk","LDPCHL182011",62,23,23,36,35,35
"167",2011-08-02,"LDP","dusk","LDPCHL152011",34,28,28,60,35,35
"168",2011-08-02,"LDP","dusk","LDPCHL162011",41,28,28,60,35,35
"169",2011-08-02,"UDP","dawn","UDPCHU12011",53,NA,0,0,NA,0
"170",2011-08-02,"UDP","dawn","UDPCHU0012011",29,NA,0,48,NA,0
"171",2011-08-02,"UDP","dusk","UDPCHU12011",53,NA,0,12,NA,0
"172",2011-08-02,"UDP","dusk","UDPCHU0012011",29,NA,0,60,NA,0
"173",2011-08-03,"LDP","dawn","LDPCHL132011",58,28,28,120,39,39
"174",2011-08-03,"LDP","dawn","LDPCHL162011",41,28,28,72,39,39
"175",2011-08-03,"LDP","dawn","LDPCHL192011",41,30,30,24,39,39
"176",2011-08-03,"LDP","dawn","LDPCHL182011",62,23,23,48,39,39
"177",2011-08-03,"LDP","dawn","LDPCHL172011",61,23,23,48,39,39
"178",2011-08-03,"LDP","dawn","LDPCHL152011",34,28,28,72,39,39
"179",2011-08-03,"LDP","dusk","LDPCHL172011",61,23,23,60,42,42
"180",2011-08-03,"LDP","dusk","LDPCHL192011",41,30,30,36,42,42
"181",2011-08-03,"LDP","dusk","LDPCHL152011",34,28,28,84,42,42
"182",2011-08-03,"LDP","dusk","LDPCHL162011",41,28,28,84,42,42
"183",2011-08-03,"LDP","dusk","LDPCHL182011",62,23,23,60,42,42
"184",2011-08-03,"UDP","dawn","UDPCHU12011",53,NA,0,24,NA,0
"185",2011-08-03,"UDP","dawn","UDPCHU0012011",29,NA,0,72,NA,0
"186",2011-08-03,"UDP","dawn","UDPCHU42011",5,NA,0,0,NA,0
"187",2011-08-03,"UDP","dawn","UDPCHU32011",25,NA,0,0,NA,0
"188",2011-08-03,"UDP","dusk","UDPCHU12011",53,NA,0,36,NA,0
"189",2011-08-03,"UDP","dusk","UDPCHU0012011",29,NA,0,84,NA,0
"190",2011-08-03,"UDP","dusk","UDPCHU32011",25,NA,0,12,NA,0
"191",2011-08-03,"UDP","dusk","UDPCHU42011",5,NA,0,12,NA,0
"192",2011-08-04,"LDP","dawn","LDPCHL172011",61,23,23,72,42,42
"193",2011-08-04,"LDP","dawn","LDPCHL152011",34,28,28,96,42,42
"194",2011-08-04,"LDP","dawn","LDPCHL182011",62,23,23,72,42,42
"195",2011-08-04,"LDP","dawn","LDPCHL162011",41,28,28,96,42,42
"196",2011-08-04,"LDP","dawn","LDPCHL192011",41,30,30,48,42,42
"197",2011-08-04,"LDP","dusk","LDPCHL182011",62,23,23,84,43,43
"198",2011-08-04,"LDP","dusk","LDPCHL152011",34,28,28,108,43,43
"199",2011-08-04,"LDP","dusk","LDPCHL192011",41,30,30,60,43,43
"200",2011-08-04,"LDP","dusk","LDPCHL172011",61,23,23,84,43,43
"201",2011-08-04,"LDP","dusk","LDPCHL162011",41,28,28,108,43,43
"202",2011-08-04,"UDP","dawn","UDPCHU242011",26,40,40,0,40,40
"203",2011-08-04,"UDP","dawn","UDPCHU0012011",29,NA,0,96,40,40
"204",2011-08-04,"UDP","dawn","UDPCHU132011",23,40,40,0,40,40
"205",2011-08-04,"UDP","dawn","UDPCHU152011",14,40,40,0,40,40
"206",2011-08-04,"UDP","dawn","UDPCHU32011",25,NA,0,24,40,40
"207",2011-08-04,"UDP","dawn","UDPCHU142011",7,40,40,0,40,40
"208",2011-08-04,"UDP","dawn","UDPCHU232011",30,40,40,0,40,40
"209",2011-08-04,"UDP","dawn","UDPCHU12011",53,NA,0,48,40,40
"210",2011-08-04,"UDP","dawn","UDPCHU222011",33,40,40,0,40,40
"211",2011-08-04,"UDP","dawn","UDPCHU212011",13,40,40,0,40,40
"212",2011-08-04,"UDP","dawn","UDPCHU42011",5,NA,0,24,40,40
"213",2011-08-04,"UDP","dawn","UDPCHU202011",55,40,40,0,40,40
"214",2011-08-04,"UDP","dawn","UDPCHU122011",49,40,40,0,40,40
"215",2011-08-04,"UDP","dawn","UDPCHU192011",22,40,40,0,40,40
"216",2011-08-04,"UDP","dawn","UDPCHU162011",13,40,40,0,40,40
"217",2011-08-04,"UDP","dawn","UDPCHU112011",29,40,40,0,40,40
"218",2011-08-04,"UDP","dawn","UDPCHU172011",23,40,40,0,40,40
"219",2011-08-04,"UDP","dawn","UDPCHU102011",47,40,40,0,40,40
"220",2011-08-04,"UDP","dawn","UDPCHU92011",28,40,40,0,40,40
"221",2011-08-04,"UDP","dusk","UDPCHU152011",14,40,40,12,70,70
"222",2011-08-04,"UDP","dusk","UDPCHU132011",23,40,40,12,70,70
"223",2011-08-04,"UDP","dusk","UDPCHU32011",25,NA,0,36,70,70
"224",2011-08-04,"UDP","dusk","UDPCHU142011",7,40,40,12,70,70
"225",2011-08-04,"UDP","dusk","UDPCHU42011",5,NA,0,36,70,70
"226",2011-08-04,"UDP","dusk","UDPCHU202011",55,40,40,12,70,70
"227",2011-08-04,"UDP","dusk","UDPCHU0012011",29,NA,0,108,70,70
"228",2011-08-04,"UDP","dusk","UDPCHU12011",53,NA,0,60,70,70
"229",2011-08-04,"UDP","dusk","UDPCHU162011",13,40,40,12,70,70
"230",2011-08-04,"UDP","dusk","UDPCHU112011",29,40,40,12,70,70
"231",2011-08-04,"UDP","dusk","UDPCHU122011",49,40,40,12,70,70
"232",2011-08-04,"UDP","dusk","UDPCHU172011",23,40,40,12,70,70
"233",2011-08-04,"UDP","dusk","UDPCHU212011",13,40,40,12,70,70
"234",2011-08-04,"UDP","dusk","UDPCHU92011",28,40,40,12,70,70
"235",2011-08-04,"UDP","dusk","UDPCHU222011",33,40,40,12,70,70
"236",2011-08-04,"UDP","dusk","UDPCHU102011",47,40,40,12,70,70
"237",2011-08-04,"UDP","dusk","UDPCHU242011",26,40,40,12,70,70
"238",2011-08-04,"UDP","dusk","UDPCHU232011",30,40,40,12,70,70
"239",2011-08-04,"UDP","dusk","UDPCHU192011",22,40,40,12,70,70
"240",2011-08-05,"LDP","dawn","LDPCHL182011",62,23,23,96,44,44
"241",2011-08-05,"LDP","dawn","LDPCHL152011",34,28,28,120,44,44
"242",2011-08-05,"LDP","dawn","LDPCHL192011",41,30,30,72,44,44
"243",2011-08-05,"LDP","dawn","LDPCHL172011",61,23,23,96,44,44
"244",2011-08-05,"LDP","dawn","LDPCHL162011",41,28,28,120,44,44
"245",2011-08-05,"LDP","dusk","LDPCHL192011",41,30,30,84,44,44
"246",2011-08-05,"LDP","dusk","LDPCHL172011",61,23,23,108,44,44
"247",2011-08-05,"LDP","dusk","LDPCHL182011",62,23,23,108,44,44
"248",2011-08-05,"UDP","dawn","UDPCHU162011",13,40,40,24,73,73
"249",2011-08-05,"UDP","dawn","UDPCHU212011",13,40,40,24,73,73
"250",2011-08-05,"UDP","dawn","UDPCHU0012011",29,NA,0,120,73,73
"251",2011-08-05,"UDP","dawn","UDPCHU192011",22,40,40,24,73,73
"252",2011-08-05,"UDP","dawn","UDPCHU202011",55,40,40,24,73,73
"253",2011-08-05,"UDP","dawn","UDPCHU262011",24,73,73,0,73,73
"254",2011-08-05,"UDP","dawn","UDPCHU172011",23,40,40,24,73,73
"255",2011-08-05,"UDP","dawn","UDPCHU152011",14,40,40,24,73,73
"256",2011-08-05,"UDP","dawn","UDPCHU92011",28,40,40,24,73,73
"257",2011-08-05,"UDP","dawn","UDPCHU142011",7,40,40,24,73,73
"258",2011-08-05,"UDP","dawn","UDPCHU222011",33,40,40,24,73,73
"259",2011-08-05,"UDP","dawn","UDPCHU132011",23,40,40,24,73,73
"260",2011-08-05,"UDP","dawn","UDPCHU272011",42,73,73,0,73,73
"261",2011-08-05,"UDP","dawn","UDPCHU122011",49,40,40,24,73,73
"262",2011-08-05,"UDP","dawn","UDPCHU232011",30,40,40,24,73,73
"263",2011-08-05,"UDP","dawn","UDPCHU322011",28,73,73,0,73,73
"264",2011-08-05,"UDP","dawn","UDPCHU252011",14,73,73,0,73,73
"265",2011-08-05,"UDP","dawn","UDPCHU112011",29,40,40,24,73,73
"266",2011-08-05,"UDP","dawn","UDPCHU42011",5,NA,0,48,73,73
"267",2011-08-05,"UDP","dawn","UDPCHU102011",47,40,40,24,73,73
"268",2011-08-05,"UDP","dawn","UDPCHU32011",25,NA,0,48,73,73
"269",2011-08-05,"UDP","dawn","UDPCHU292011",34,73,73,0,73,73
"270",2011-08-05,"UDP","dawn","UDPCHU342011",3,73,73,0,73,73
"271",2011-08-05,"UDP","dawn","UDPCHU282011",16,73,73,0,73,73
"272",2011-08-05,"UDP","dawn","UDPCHU12011",53,NA,0,72,73,73
"273",2011-08-05,"UDP","dawn","UDPCHU242011",26,40,40,24,73,73
"274",2011-08-05,"UDP","dawn","UDPCHU332011",7,73,73,0,73,73
"275",2011-08-05,"UDP","dawn","UDPCHU302011",23,73,73,0,73,73
"276",2011-08-05,"UDP","dawn","UDPCHU352011",13,73,73,0,73,73
"277",2011-08-05,"UDP","dawn","UDPCHU312011",42,73,73,0,73,73
"278",2011-08-05,"UDP","dusk","UDPCHU202011",55,40,40,36,85,85
"279",2011-08-05,"UDP","dusk","UDPCHU152011",14,40,40,36,85,85
"280",2011-08-05,"UDP","dusk","UDPCHU142011",7,40,40,36,85,85
"281",2011-08-05,"UDP","dusk","UDPCHU122011",49,40,40,36,85,85
"282",2011-08-05,"UDP","dusk","UDPCHU132011",23,40,40,36,85,85
"283",2011-08-05,"UDP","dusk","UDPCHU212011",13,40,40,36,85,85
"284",2011-08-05,"UDP","dusk","UDPCHU262011",24,73,73,12,85,85
"285",2011-08-05,"UDP","dusk","UDPCHU302011",23,73,73,12,85,85
"286",2011-08-05,"UDP","dusk","UDPCHU222011",33,40,40,36,85,85
"287",2011-08-05,"UDP","dusk","UDPCHU292011",34,73,73,12,85,85
"288",2011-08-05,"UDP","dusk","UDPCHU242011",26,40,40,36,85,85
"289",2011-08-05,"UDP","dusk","UDPCHU282011",16,73,73,12,85,85
"290",2011-08-05,"UDP","dusk","UDPCHU322011",28,73,73,12,85,85
"291",2011-08-05,"UDP","dusk","UDPCHU272011",42,73,73,12,85,85
"292",2011-08-05,"UDP","dusk","UDPCHU312011",42,73,73,12,85,85
"293",2011-08-05,"UDP","dusk","UDPCHU232011",30,40,40,36,85,85
"294",2011-08-05,"UDP","dusk","UDPCHU42011",5,NA,0,60,85,85
"295",2011-08-05,"UDP","dusk","UDPCHU172011",23,40,40,36,85,85
"296",2011-08-05,"UDP","dusk","UDPCHU32011",25,NA,0,60,85,85
"297",2011-08-05,"UDP","dusk","UDPCHU92011",28,40,40,36,85,85
"298",2011-08-05,"UDP","dusk","UDPCHU162011",13,40,40,36,85,85
"299",2011-08-05,"UDP","dusk","UDPCHU342011",3,73,73,12,85,85
"300",2011-08-05,"UDP","dusk","UDPCHU12011",53,NA,0,84,85,85
"301",2011-08-05,"UDP","dusk","UDPCHU352011",13,73,73,12,85,85
"302",2011-08-05,"UDP","dusk","UDPCHU332011",7,73,73,12,85,85
"303",2011-08-05,"UDP","dusk","UDPCHU252011",14,73,73,12,85,85
"304",2011-08-05,"UDP","dusk","UDPCHU102011",47,40,40,36,85,85
"305",2011-08-05,"UDP","dusk","UDPCHU192011",22,40,40,36,85,85
"306",2011-08-05,"UDP","dusk","UDPCHU112011",29,40,40,36,85,85
"307",2011-08-06,"LDP","dawn","LDPCHL212011",91,44,44,0,44,44
"308",2011-08-06,"LDP","dawn","LDPCHL192011",41,30,30,96,44,44
"309",2011-08-06,"LDP","dawn","LDPCHL172011",61,23,23,120,44,44
"310",2011-08-06,"LDP","dawn","LDPCHL182011",62,23,23,120,44,44
"311",2011-08-06,"LDP","dusk","LDPCHL212011",91,44,44,12,45,45
"312",2011-08-06,"LDP","dusk","LDPCHL192011",41,30,30,108,45,45
"313",2011-08-06,"UDP","dawn","UDPCHU12011",53,NA,0,96,83,83
"314",2011-08-06,"UDP","dawn","UDPCHU262011",24,73,73,24,83,83
"315",2011-08-06,"UDP","dawn","UDPCHU202011",55,40,40,48,83,83
"316",2011-08-06,"UDP","dawn","UDPCHU172011",23,40,40,48,83,83
"317",2011-08-06,"UDP","dawn","UDPCHU402011",37,83,83,0,83,83
"318",2011-08-06,"UDP","dawn","UDPCHU162011",13,40,40,48,83,83
"319",2011-08-06,"UDP","dawn","UDPCHU142011",7,40,40,48,83,83
"320",2011-08-06,"UDP","dawn","UDPCHU422011",22,83,83,0,83,83
"321",2011-08-06,"UDP","dawn","UDPCHU152011",14,40,40,48,83,83
"322",2011-08-06,"UDP","dawn","UDPCHU212011",13,40,40,48,83,83
"323",2011-08-06,"UDP","dawn","UDPCHU232011",30,40,40,48,83,83
"324",2011-08-06,"UDP","dawn","UDPCHU122011",49,40,40,48,83,83
"325",2011-08-06,"UDP","dawn","UDPCHU132011",23,40,40,48,83,83
"326",2011-08-06,"UDP","dawn","UDPCHU192011",22,40,40,48,83,83
"327",2011-08-06,"UDP","dawn","UDPCHU252011",14,73,73,24,83,83
"328",2011-08-06,"UDP","dawn","UDPCHU302011",23,73,73,24,83,83
"329",2011-08-06,"UDP","dawn","UDPCHU452011",33,83,83,0,83,83
"330",2011-08-06,"UDP","dawn","UDPCHU292011",34,73,73,24,83,83
"331",2011-08-06,"UDP","dawn","UDPCHU412011",15,83,83,0,83,83
"332",2011-08-06,"UDP","dawn","UDPCHU282011",16,73,73,24,83,83
"333",2011-08-06,"UDP","dawn","UDPCHU222011",33,40,40,48,83,83
"334",2011-08-06,"UDP","dawn","UDPCHU272011",42,73,73,24,83,83
"335",2011-08-06,"UDP","dawn","UDPCHU332011",7,73,73,24,83,83
"336",2011-08-06,"UDP","dawn","UDPCHU362011",3,83,83,0,83,83
"337",2011-08-06,"UDP","dawn","UDPCHU322011",28,73,73,24,83,83
"338",2011-08-06,"UDP","dawn","UDPCHU442011",21,83,83,0,83,83
"339",2011-08-06,"UDP","dawn","UDPCHU312011",42,73,73,24,83,83
"340",2011-08-06,"UDP","dawn","UDPCHU432011",71,83,83,0,83,83
"341",2011-08-06,"UDP","dawn","UDPCHU42011",5,NA,0,72,83,83
"342",2011-08-06,"UDP","dawn","UDPCHU102011",47,40,40,48,83,83
"343",2011-08-06,"UDP","dawn","UDPCHU32011",25,NA,0,72,83,83
